45.142.236.16:443  | 162.158.111.41 | FR | 264ms | cloudflare | 2023-07-29 23:45:07
45.142.236.18:443  | 172.70.251.44  | FR | 264ms | cloudflare | 2023-07-29 23:45:08
45.142.236.21:443  | 172.69.150.17  | FR | 257ms | cloudflare | 2023-07-29 23:45:08
45.142.236.13:443  | 172.70.246.73  | FR | 272ms | cloudflare | 2023-07-29 23:45:08
45.142.236.20:443  | 162.158.94.239 | FR | 254ms | cloudflare | 2023-07-29 23:45:08
45.142.236.17:443  | 162.158.110.42 | FR | 298ms | cloudflare | 2023-07-29 23:45:08
45.142.236.22:443  | 172.70.242.93  | FR | 293ms | cloudflare | 2023-07-29 23:45:09
45.142.236.15:443  | 162.158.87.169 | FR | 299ms | cloudflare | 2023-07-29 23:45:09
45.142.236.19:443  | 162.158.110.74 | FR | 262ms | cloudflare | 2023-07-29 23:45:15
45.194.96.69:443   | 172.69.22.217  | HK | 358ms | cloudflare | 2023-07-29 23:45:16
85.209.161.44:443  | 162.158.110.102 | DE | 251ms | cloudflare | 2023-07-29 23:45:16
45.142.236.23:443  | 162.158.95.86  | FR | 289ms | cloudflare | 2023-07-29 23:45:16
85.209.161.100:443 | 162.158.111.38 | DE | 272ms | cloudflare | 2023-07-29 23:45:17
85.209.161.89:443  | 172.70.250.218 | DE | 299ms | cloudflare | 2023-07-29 23:45:17
85.209.161.62:443  | 162.158.86.151 | DE | 280ms | cloudflare | 2023-07-29 23:45:17
85.209.161.2:443   | 172.70.242.10  | DE | 421ms | cloudflare | 2023-07-29 23:45:17
85.209.161.61:443  | 162.158.110.64 | DE | 0ms | cloudflare | 2023-07-29 23:45:17
85.209.161.87:443  | 172.69.150.79  | DE | 251ms | cloudflare | 2023-07-29 23:45:17
85.209.161.95:443  | 172.69.150.86  | DE | 282ms | cloudflare | 2023-07-29 23:45:17
85.209.161.74:443  | 172.70.247.75  | DE | 253ms | cloudflare | 2023-07-29 23:45:17
85.209.161.126:443 | 172.70.242.176 | DE | 274ms | cloudflare | 2023-07-29 23:45:17
85.209.161.96:443  | 172.70.250.211 | DE | 282ms | cloudflare | 2023-07-29 23:45:18
85.209.161.101:443 | 162.158.95.43  | DE | 297ms | cloudflare | 2023-07-29 23:45:18
85.209.161.28:443  | 162.158.95.59  | DE | 253ms | cloudflare | 2023-07-29 23:45:18
85.209.161.97:443  | 172.71.246.103 | DE | 252ms | cloudflare | 2023-07-29 23:45:18
85.209.161.48:443  | 172.69.150.50  | DE | 285ms | cloudflare | 2023-07-29 23:45:18
85.209.161.43:443  | 172.70.251.53  | DE | 301ms | cloudflare | 2023-07-29 23:45:19
85.209.161.85:443  | 162.158.110.64 | DE | 257ms | cloudflare | 2023-07-29 23:45:19
85.209.161.99:443  | 162.158.111.28 | DE | 273ms | cloudflare | 2023-07-29 23:45:20
85.209.161.94:443  | 172.70.251.30  | DE | 267ms | cloudflare | 2023-07-29 23:45:21
85.209.161.64:443  | 172.70.242.176 | DE | 252ms | cloudflare | 2023-07-29 23:45:21
